user,comment
noiretblancblog,Omggggg I just realised. You’re gonna be Lauren Lane. Blimey that’s a bit cute
journey21352,"Even if you do make it down the aisle, I give it a year"
donnataylor50,big big plans
littacabrera,So special! Blessings💕
janer64,How cute are you two!
mooninfusions,💗💗💗
jassdal,😍😍😍😍😍😍
mattiejayne,"Hope you come with to the Petunia Festival in Dixon, IL! 💕💕💕"
britmalcolm_,@laurenbushnell  will you share where your boots are from! 😍
lau.sinclair,Obsessed with those boots 😍
spatesrdh,Will be seeing Chris tonight in Richmond!  Will you be there?
wouldbuyagain,So much love!! 💗
ima.tripp,Not with those skinny jeans i hope 😂😂
amanda.proctor.onyx,🙌🏻🙌🏻
sargould,What a dream
jielingngo,💗
suziemoldavon,Omg soooooo happy for you! ❤❤
gillianferris,@amandadouglass 💕❤️💕❤️😭
stephaniegrace18,😍
lammerchops,This guy's jeans are skinnier than hers. #warning
naomie_in_cali,💚💚💚💚💚💚💚💚💚💚
amamontana,Welcome to Big Sky Country❤
stefanielynn25,"I can’t stop listening to the song and every time I watch the video, I cry!!! 😭😍♥️🤗 sooo happy for you two!!!"
teryndhillon,Love the song he wrote you!! Need it!!
mamacindy1298,Congratulations 🎉
suisbelle_,lovers 😍😍
kara.pennington19,🤩💜
mauramaguire,😍😍😍😍
karinamasoian,@talinemasoian
jenniferperyam,This will b there first dance song I bet
hoesforthebachelorfranchise,Congrats girlie!! Supporting you from day one and beyond!
julescorc22,So happy for both of you.
themeganwells,Y’all are the sweetest country couple ever! 💕
alli.kirk,💘
queent5,🙌🏽❤️
justlainee,Girl. Where did you get those boots tho? 😍
cindy_pita,My heart😩♥️
mandonita,That song is so sweet and I can’t wait to download it when it comes out on iTunes!
bridget,u guys are killlllling me #GOALS 💗
veronica_sharpe,💕💕💕
jordey_dassler,You guys are absolutely perfect. ❤️
guraman.cheema,👌🔥😍🔥👍
lisag2,Congrats love the song and the engagement was so touching and romantic 💕
tck88max,Love you guys. So happy for you both. Really setting the bar high for us regular gals.
stormiswimwear,So cute! 😍😍
paperstopetals,👏👏👏👏👏👏💕💕💕💕💕😘😘😘😘
lucymae1,Love love love
amelia_mariie,So happy for y’all!💕
madalynyatesphoto,Absolutely love!!! So excited for y’all!!! ✨❤️😍
halfasian50,And this song 💋
christinejroche,WHEN is that song being released??
mizuz.francis,❤️❤️
shelly_abe,@steve.abrahams
shellsardella,Those boots!!!!!!
noooono_noooo,😍
aliceorjewellery,Soooo cute 💙💙💙
mbgalano,"❤️❤️❤️ I love the song too!!!! Lucky girl, lucky man!"
lalamermaid27,Are y’all getting married at a truck stop???
mirandajeff_,I literally cried when I heard that song
francescas_instapage,Until you find the next $ ticket’
marissamundinger,release the song
5ophierose,🔥😍 and your boots 💛
lindseyluuu,Goals 💕
lancasterkatelyn,Such a beautiful song and beautiful proposal.
lancasterkatelyn,Such a beautiful song and beautiful proposal.
savitrikassiram,Thank to Ben she became famous
valeriewakham,❤️
amandagoldfarb_,I’m dead.
deckertmaret,I just need this song to come out on iTunes 😭😭 seriously too cute
donnacabana520,🥰
ashley.yono,Love you two 😍🤩
isabellacalcaginio,come to raleigh thanks:)
tbpoole,Can’t wait to see Chris tonight in New Bern
asher_m_shevada,Congrats! Love the song! So excited for y’all!
bombyx_mori_fashion,😍💞😍💞😍💞😍💞😍💞💘🌹🌹💘🌹💘🌹💘🌹💘🌹💘
countryjunky93,Y’all are the cutest 😍❤️
ida.maria98,I watched the video about this caption and it was adorable! Congrats
joulani_ahmad,I see you babe you
chloeskyelar,Soso cute
cindymcgreevy1109,BIG Wedding Plans! 💍 💑
saraluu_,I’m crying
meaganmowery,😭😭😭 Love
chloeallisonjamesglober,Love the song sooooo much - that was such an amazing proposal 💕
imlexyrose,you guys are so cuteeeee😍😍
wcallaghan,CUTE BOOTS!!!
brookeedolann,😭😭😭😭
kelsbennett,When’s the song out tho
korrynemaher,Love ❤️
parisriggio,your right
cmarion6,❤️❤️
inesnaouali,Wooo! So excited 😍💥💥
e_mmers,😍😍😍
heatherhahnn,So cute!!!!!! <3
_sydneyycampbell,😭😭😭😭 @zarynj
rachyrichardson,@abbsjoy
imontague224,@claire_dietrich sobbing again
simply_jules_xo,@laurenbushnell Top!😍..where is it from!
vdw0310,@laurenbushnell @iamchrislane I am obsessed with this song. Will it be released? Understand if you’re keeping it close to home. ❤️
alexx_pizzi,@maggie_mac01 crying
breana_kk,♥️
imhieutran,You guys are adorable 💕
cherylu0419,❤️❤️❤️❤️Awesome.!!
stylefitfatty,In looooove😍😍😍😍
kacidbrown,😍😍😍😍😍😍😍
jennaesaltzman,Soooo adorable
kimberly_dormanesh,Seriously the CUTEST song and proposal ever! Love you both together 💕💕💕💍
3clovermom,💕💕💕
andrearmasi,The best song!!! I love it! 💕
higgins.suzy,💕
classyntheclassroom,Caption 20 out of 10
theshawndradee,"Your proposal video was so cute, it had me in tears! Congrats, guys! ♥️♥️♥️"
tiana_thomaszewski,@kaleighhalloran I’m so happy omg
maraanne77,Love those boots!!!
nesschap,That song makes me cry!! 💞
vp284858599,Can you give deets about your boots? They are so cute!
brittanygerena,😭💕
colleenparisi,the heart in the cloud in the background 😭❤️ so perfect
ace_929,😭❤️😭
laurenpoirier_,when’s this song drop ?!?
melissaraezepp,the cutest 😍😍
morgscoffey,😍😍😍😍
maddie_jo24,@shelbykmiller92 she is living the life! So cute 😭😍
vbryan99,I hope you come to orange beach in August 🤞
tmlarkinnn,I AM OBSESSED
amberelizabethsimmons,You guys are the cutest!!
st.acy730,This is the cutest pic yet .. CUTEST
st.acy730,Sweet 🙈
jacquifink99,the song is amazin
jacquifink99,ughh😍 so happy for you
annaa_bakerr,So many goals 😍
jenna_amico,Cryin
mrsbradysmith,Is this song gonna be available to Spotify soon???? I want it!
saifzaman1994,can I get a early happy birthday wish from you
ronnie_xoxo94,I love y’all together ❤️❤️❤️
taylor_lovee,Dyinggggggg over this! So darn cute 💗
yusrasyed1,in love
porsche_lov,❤️❤️❤️
tonianicole9,😍😍😍
_mellybelly,😍😍
tracykearn,My heart 😩❤️❤️❤️
bryyyder,I literally can’t. I cry. 😭
katy_ontherox,❤️💕💕💕💕❤️❤️
bryyyder,I literally can’t. I cry. 😭
mandamariahhh,So happy for y’all 😭💕
a_iwright,This is perfect😍🙌🏻
tlh116,@laurenbushnell where did you get those boots??
linkwithkate,😍😍😍
lesliemua__,Favss😭😭😍
ohlookitskristencook,I’m really excited for you but your outfit is also so amazing I’m distracted 😍
ayefay,Those boots 😍 forever fashionable
lifeof_liv,❤️❤️❤️
suestor,Congratulations!!
ryleemckinley,ugh so cute 💗!!
leeleepix,🙏🏻💗
b.n.parris,MY FRIKKEN FAVES😍😍😍
tabethamlowie,I LOVE YALL
hotchild666,I cried watching the proposal video. Twice. 😭😍 So beautiful.
clancyham,So excited for you both!!
piafrancesca,My whole heart. Omg
gjp1516,I was sad after your bachelor journey as I loved you however being a huge country girl myself I couldn’t be more happy that you found love in the country family. You and Chris are too cute for words!
kirst_christiansen,Obsessed with you both 💗
mackflood,💞💞💞💞
mavi.turner,see y'all tonight!!
x3megs07,Where is the ring????
keby24,💕💕
bridgetstokess,I love you guys
annamstoner,Nice @kenworthtruckco truck!!
kirstiecooper,🔥
megannntyndall,❤️❤️❤️
devennicole4,❣️
i.am.shantelle,Awe you guys are the cutest!
shiplapandsuch,You two are my fave ❤️
cristinaaroselli,I love you guys😭😍💕
iamtiffanyleanna,Congrats love bugs !!!
megantamplin,😭😍💗🎉
coops9004,Love this song!!!!!
a_horning2,Adorable!! ❤️
wjpollack,💕💕💕💕
avacado23,@_malloryrenee she dresses so cute
kbaldivieso,Is that a dew @dewedit 👀 💕
darlingjulietphoto,YOU GUYSSSSS 😍
karikriewald,The cutest ever ✨
tpiccone13,"Yessssssss🙌🏼🙌🏼🙌🏼 love it, love this, love you two! ❤️"
megan__cooper,😍😍😍
