user,comment
enbell,@dnlchmbrs
reneelebreton,@stephieeee__
my_mothers_child,"@kolateralnazrtva poludila skroz...vidi sta je uzela,vidi govora."
pawljebara,@marcjebara @nataliejebara
angelhattingh,@britneyspears I really feel sorry that you have to read all the comments people post about you - you just do you - As long as you are happy
isabelyungwirth,@kendrammills 👒
petamae,@beckbutcher
misss.melissa,Just remove the awefull black makeup around your eyes... Dosen't advantage you at all..
dentist.yasmine,Wash your hairrr please !!!!!!!
guitalistt,AMANYARAbim
ctina.shannon,@brandonp.ray
krzywadad,Your very sweet
stephjaksch,@mialsmith
sheri_colin,@ninaharrison203
dominiquewisniewski,@emmacreighton
lorenasilvestritanteri,😱
cammcqueen,@casey.freed off the deep end
gutterboy,Hmmmmm are you ok Britney
victor_dmitriev_1989,Ахнуться как она постарела
davymartino,hope everything is going well
alitaravat295,چقد تند حرف میزنی بریت 😉
reginagonzalez,@ericawolfe
red.gypset,U on holiday rn @basic.binx #contentideas
mollymeyer19,@maddiemax
claire_crd,@nemesis133 pas mal ça aussi
rach1989_,Blow your nose it’s blocked... Wash your hair and remove your eye makeup please 😨😓
kellorg4,@chelseatropeano they are dragging her in these comments lawddd
v.zemlyakoff,Жизнь потрепала старушку
ellebennett,@katiefletcher93 @asadler24 🥜 😂😂😂
kellykellykellyy,@katelynne_ray84  wow
sarjbrack,@lindsaylaszlo what
murdockmix007,Beautiful🔥
murdockmix007,Cool hats.
sweet_heart21,I love you ❤️
insta.b16,Omg I love Turks and caicos !!!
lavtaro_97,Danja B10 😍😍😍😍
amandanlilly,@jen235 I didn’t tag you in this one
pamella1239,"Hello @britneyspears I'm your big fan and I love all your musics they are incredible and sooooooooooooooo beautiful and sooooooooooooooo wonderful, I love you sooooooooooooooo much Britney 😍😍😍😍😍😍😍😍❤️❤️❤️❤️❤️❤️❤️❤️💜💜💜💜💜💜💜💜♥️♥️♥️♥️♥️♥️♥️♥️💙💙💙💙💙💙💙💙💖💖💖💖💖💖💖💖💟💟💟💟💟💟💟💟💗💗💗💗💗💗💗💗"
pamella1239,I'm from Brazil 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷
jesus.ochoacoria,💖💜💖
kornykardashian,@coltonrosner the nail polish with the two pink pearlistic bracelets on top of the straw hat. Camp.
throbzombie,"LOVE THE ""COWBOY"" Hat! 😁😁😁"
hollywoodpositive,Hatney 👒🧢
bebritneyspears,Follow her @bealiakhan 😘
georgeschz,Ya te ves bien acabada
soo_pristine,@flawlesszuri
sarahkronk,@caitkronk
ljorfald,@arco8 @erdawgg
hannah_vibe,@hohmgirllauren @shannon518 plz follow suit and show us your goods
nanymusicaoficial,🔥🔥🔥
betty_didit,@mrsbuttertooth this one is the best.
estelle_k_crawford,Looks amazing 😍💜
nicolemcconnell_,@n0lameg okay ...
carolinescott82,No one cares u bought hates love wash ya hair bin the eyeliner hire a stylist and sing your troubles away....
bebritneyspears,Love you😘
aaronnn__6,I love her beautiful voice :)
thefashionclub333,What in the name of god
jenjen3474,@lexyngtn
smells____,@livelaughlove666
z_kend,"GIVE UP THE TANNING BED, BRIT!"
daniellefultonn,@gabbyswica @mckayladay @naomirut @charlottedelorey
matthew.nobles.94,Wassup beautiful! Ur a great mom keep going
jac5j,😍😍
keatonholmesfinsta,im legit laughing at these comments 😭
mrsjenniebear,@edmond_m
loudawg1227,Preach Dr. Drew PREACH!!! 🙏🏼 https://youtu.be/mJQLkIldgt8
tarasails,@daniel.sauer
tarazona7,@suffer_freely 😐😐
aisling.noone,@orlanoone 🙈
thenicoleinme,How many times do you need to say beautiful? I’m really serious - is this account a joke?
itsaprilfit,@deaterpeter7
bethkineavy,@katekineavy
the_rockbobster,#freebritneyspears
luchidaly,@anyvguerrero
sarai_vm,@camilaaol @monica.vb.1 por siempre tus fans ❤️
ticksunvalley,"@stevencundari um uh, huh?"
virgikarly1931,😍😍😍
ndnzlx,@yas.minerose dima bayna zo erg onverzorgd
vadymshpontak,"Єбаааа ти страшнааа,я в шоке🇺🇦🇺🇦🔥😂😂😂"
zingostarrr,Something’s not right.
poppyheadx_,CHICKKKK🙌🙌
tishesp3,Your such s beautiful person inside and out.
kexyxy,you can say beautiful very fast
sofiyagreenway_baku,Что с тобой.....
hannahwillo,@hol_smith90 beautiful
quocalocka,Oh
andreasbrandejsky,Fine
sm_anderson,@ca_vdb
cattledogman,Are you OK?
sallyhigson,"@katemullen22  did you see the beautiful purchases, it’s a beautiful place"
florini4,Uh really
fuck_list_of_the_world,👍🏼👍🏼👍🏼👍🏼👍🏼❤️❤️❤️❤️❤️
boredgambino,Wow so beautiful
liz_herrera2002,😱
shapingjunkie,@mrbusterbrownnyc
shapingjunkie,This is where I’m staying at right now. @mrbusterbrownnyc
chanceforpresident,Cool💪
lindshicks4,@brittany_green04
jeaspeed2,Awesome love you 🤙🌺😎😘🌹🤘😘
sadaf.sadighi,Love you ❤️
gjmyko,Hi beautiful 💙
tonyramostr1234,Linda charmosa bella top.
thanitelife,It’s like watching an alien 👽 trying to be human
iskandar19_27,Topinya yang putih bagus👍👍👍
misshraa,And I thought it couldn't be anything more cringeworthy than  chaotic. Yeap we need to go back to 1999 and have a talk with that britney real quick
xelacb,@59800lille
renan_gamer_engenheiro,#f4f #folowme
jezkafitch,You’re such a sweetheart 💕 thank you for sharing you cute finds and your fun times with us! It’s amazing to hear your voice!
nefinn76,Помотала тебя мать жизнь
mysteriman80,Something is off with her and its apparent
candicemilka,💙💙💙👑
sofiafrogone,@silfrog
fairygypsysoul,Ummmmmmm..............
thejadynator,@___sunnydaze  ur girl
sanantoniogigi,💕
autumn_babys,💜💛💜
ceciie_,@atsel_warawara
audrey__lam,@e.k2y @xcxmichellexcx @hitthetoxicnuggett
fake_profile_55,#CRAZYAF
mikepedrin,She seems off.  Not sure what it is but it doesn’t feel right.
evenmoir,@jmalcolms
jacksronaldanthony,Hi
aaliyekarami,💚
elfo.2000.mendoza,so beautiful you were.  What happened to you now?
anfisa_2203,Please change your make up!!! 🙏🙏🙏
marcosapgoncalves,@stelladalcin parece a sra qdo tá tendo ataques de diagnosticada... Kkkk
rajshekar_reddy_adidela,Grandma
korbn_dallas,Can you ever speak to us in REAL Britney voice instead of Disney's princess-voice like we're all helpless children lost in Neverland?
eodicejohn,🔥❤️😍
lalecjames,GET IT GURL
cosmeticwellness_,@sarahstavrow i'm addicted lol
sahra.marie2001,@keshiiasanders sie is so durch hahahhaha
me_n_you86,Hey britney..
wendyl2827,"Someone need to teach her how make a  vacation video seen more natural. I looooove Britney, but btw a little botox goes a long way😘"
o.wickberg,Awesome
nicole13christine,New hair and wash your faceeee
ginaislass,😂😂😂😂
brianfountain_,@_gmonteiro
trexone1972,Beautiful
passportpaul,Omg i missed her without even knowing it!! 😩😩
brynnlambo,@heidi_elsayad great beautiful purchases
fugue_music_official,چقدر پیر شدی پیر زن 😂😂@britneyspears
leaherenfrow,@jilliancharper @jeanaharper
carissaparente,@fran_ayyy
genteprecisofalar,FLAWLESS SOUL! 😍😍😍😍😍
sly.mer,Dont care your hats lol. Wanna see your pretty and girly face and body! Lol
rygeron,@spewham  @courteneynewham
03erinmontgomery,Thanks again for your love 😍🔥
americanfemm,🤖🤕
pavle.belgradeartshow,R u ok
katy_sings_stuff,@laurentheswan
nicolelouiseeeb,@amanda1eee
nlwrenn,@drew_harmon
aaliyah_babygirl79,"Mi hate har forehead, @sammydipz"
paul__pritchard,I love you so much my darling beautiful girl 🙂💜💜💜💜💜💜💜💜
gemelizabeth83,@charlioj I think Britney is my eye make up twin
ashtontaylorxo,🙌🙌🙌🙌
elektrogal,@jodi_917 totally what you’d get after spending time on that beautiful beautiful island.
robin_bobin4444,@mollyollyoxen3
gheziya_alexandria,😭😭😭
mrsbritburgess,@alexkayken wtfffffff
the.chronicles.of.tara,Maybe we can get some beautiful purchases in Castlemaine @fionagracestewart? 👒
