user,comment
veysi.adel,😋😋😋
mbkf,Louisiana queen
leonfitness93,Don’t forget the lime and TAJÍN 😬
_social_butterfly_124,🤔 adding salt to a watermelon that has water and sugar
sweett_nessxoxo,Omg Yess ... I thought I was the only one 😀
ledfut40,Here here's to the salt. Not too much tho♥️
msaprilincallum,Indeed  _social_butterfly_124 its a thing.
samackayxo,@kristensummers
rodneygonzales58,Yeah it's been going on that for years.
samanthadreilly,Me always 🔥🔥🔥🔥🔥🔥🔥
tts1701,🤢
riveringot,🍏🍎🍏🍎🍏
mustafaazmikaya,Karpuz anladım tuz ne işe yarar yanında
phoebejackson3126,Salt?
_annierey,@oliviaroyle
tysonsam8881,My parents did that. Love it
tashawenger,@jen_nahhhhhh
eilidh_wardrop,@1986braza interesting take on 🍉 something new to try
mybcollection09,Omg 😂😂
haidynfoley,Yes.
vrooomvrooomcar,@gar0190 @lizmaeormaynot 🍉
trangpetruzzi,wish i could send you some smoked blue basil salt to put on it! so good!
mollymaxinegal,Yes!
hardworker0928,Watermelon and tajin clasico seasoning
s_angels74,I love you
mustiisescape,Salt??
riveramteresa1975,I love me some watermelon with a little salt
phareezy,Remarkable content @justinedg3
leonard.harper.984,I like it with salt also 💞
angel_piwe,Sandía 🍉
soa4878,Com sal? Garota...?
t_carbetta,I always buy seeded watermelons ...I don't know about in California but in Ohio the seedless ones aren't very good
trandenise,@racheltran5
miss.anna.cg,Yessss
vivianaoxox,Best ever!
mle_dance,Yaaaaas!
facesoff,Try pineapple and salt🍍🍍
brittanymaurio,@jillianmercerr i’m dying
shannadmcd,@shaantelle_  ha ha
grettizzle,girl add some limón and tajin to that
delaurusj,@mlt______ well.. obviously!!
jennif.ever,"One of my favourite salads is watermelon, basil leaves, and bocconcini with balsamic dressing. 🍉 Love to mix sweet and savoury!"
mariasoares4100,Eu gosto muito de melancia mais sem o sal
tatigetti,pickled watermelon is delicious👌👌❤️❤️
annmariejoachim,💕💕💕💕💕💕💕
kallieowens,@emily.contorno
nouraaki,Won’t you just let her let her beeee
paleolifestyleuk,Electrolytes 😜
bridyma,Miiammmmm
oandersonoli,Cansei
melodymolinaro,Omg your prego again. Yayyyyy!!!!! Hahahaha ❤️ jk jk
bernardobarbuda91,One Love!!☝🏼❤
iahmetshin,"Не ватерлемон, а арбузец"
barthutchie,Yuck
blueye0614,Definitely a southern girl! 😍
erennzerenn,🇹🇷
roz.hisky,😍🙌🏼
michaelteggi,What sale??😳
bran_muffins007,@rachygrady
gma_blondie,You can't have watermelon or cantaloupe without salt... Salt is a must!!
stevenpslate,#RedFruitNation
hispanic_depressive,@zoreemoore
lilicream,😋😋😋
anastasiiafame,😂👍🏻
oscar_alnweisser,And salt!!What?!
j.l.livingstone,👑👑👑👑👑
zoeeiyo,sugar
aliyanik1126,Hummm delicious😍😉👏
johnmckay709,🍉: The fruit of summer 2019🙌🏼
jounvasiliou,The best fruit from the woman artist in the world
br0nte,@uptownsquirrel_ mood
mrsziggs62586,"That's what I'm eating. Try sugar baby watermelon,  it's a dark green, super sweet👍"
theofficial_nyrealtor,Brittany try eating with Feta cheese super yum!!!
reusily,Yumm
rodri.peter,Salt??????
delphinakiss,Watermelon 😍☀️👌
dianacperkins,True child of the South.
ingwardsen,@astithe3rd dig og Britney har noget til fælles🍉🧂
bagusadi41,🍉🍉🍉🍉🍉🍉🍉🍉🍉🍉😍❤️
diegosoaes,Cuidado com o sódio.
tinks280616,Watermelon 🍉 yes but salt yuk
tmarie3283,Ew
mrsrcl3,The southern way! ❤️
mositafa.karimi,Salt??????😕
latifahabdul_,@aimee_duffy5 told ya
ela.pint,Makes the melon sweeter 🍉♥️
makris__99,Halloumi for life
simontaki21,Yesss. Best summertime snack
austinhomessell,"@britneyspears try chili lemon salt, it’s a beer salt by Lucas."
lisamforeman,Yesssss!!! That’s how it’s done! 👏👏👏
ka.khaju,That's Japanese style!😍👘👏❤️
karina_gasparyan1,❤️
tommysleiman,Asco mareca @ernestorengifo_
derrrburrr,@blakedonofrio BLAKE 😂
bluemtnrise,Ummm...no salt!
frolickingpeacocks,@mason.davis6
frolickingpeacocks,@jen_lynn_king
justlikerainy,❣️I love salt on watermelon too!!!
lovearmyguys6669,I see no salt lol
dessacsta,"credo mana, melancia com sal"
cherat0,🤭
dragende.hjemve,@bigmama_kali  Britney knows
mommanay79,Who knew?🍉🧂
eherouxx,#helpbritney
les_knox,One cannot eat watermelon without Salt!!
nadien14,@experiencer_theme + Britney.
barroma10,U need to try it with tajin
valerioantei,🍉🍋👌👌👍👍👍👏👏
ayletteblue17,Salt??? On a watermelon?? 😧😅🍉 (*can't find a salt emoji*)
mikey7257366,I Loveeeeee this just had it yesterday ❤️
luigi88_1,😏
mikey7257366,@mookieforreal we’re twins see 😂
missjanelle53_,Skinny needle? I think she has an amazing body! I’m confused at the skinny needle comments 🤷🏼‍♀️
rob_little_world,GREAT idea..👏☀️🌡😊
trending_bestseller,This watermelon is skinny as a needle😍😍 visit our needle support
braunschweiger_sandwich,@hlkellyy only thing i can relate with lol
mahalves144,Mentira que Britney faz igual eu 😱
mahalves144,Mentira que Britney faz igual eu 😱
skinny_pete_lover,Iconic
lisad790,Yes!
shelleya504,You know you from Louisiana when...you put salt on Watermelon! Love it!
__miim_qh_,😳
tochee,@laurawesthof elle est sérieuse ?
arbonnecleanbusiness,Gahhhhhhhhh!
yuvabyb,😍❤️❤️❤️❤️
tinanovitasari42,Yummy
adriasuay,cute
chuckie_chuck37,"Salt tho? Hmmmm, oh that's right my girl Britney loves salt on everything"
colorfulsanders,Wait what
afontana28,@bennyc86 rivaling the Infamous 🌽 post
afontana28,@bennyc86 rivaling the Infamous 🌽 post
colorfulsanders,@bashir.h89
angelwulff,@britneyspears try watermelon and feta cheese. So good!
bonquishador,TEAAAA
ellatz,This is so russian of you
phillipshorcruxes,Queen knows how to treat herself
tabo66,@britneyspears  This is delicious.
joice.duran,❤️❤️❤️❤️😍
kazasiz_kul_olmaz_,U
khanhlinhluongtran,😅😅@r.e.n.z  Bả hết cái để đăng r hả 😅
rachelblackburn83,Yes!!!
reinboemulia,👍👍👍
redhoodedrants,🧘🏼‍♀️🧘🏼‍♀️🧘🏼‍♀️🧘🏼‍♀️
amolika10,Where is the salt?
marineservat,Comme @val_3_m 🤣🤣🤣
